x0,x1,x2,x3,x4,x5,x6,x7,y
5,11.0,19.0,A6,A128,A19,918.0,1054.0,7.0
5,3.0,19.0,A6,A14,A74,1160.0,1238.0,-2.0
5,2.0,16.0,A2,A86,A29,840.0,980.0,-10.0
5,9.0,27.0,A0,A45,A110,745.0,1065.0,-3.0
5,8.0,10.0,A8,,A26,920.0,1025.0,7.0
5,11.0,12.0,A0,A16,A121,1275.0,1415.0,-14.0
5,5.0,14.0,A0,A15,A103,1140.0,1200.0,29.0
5,4.0,5.0,A0,A55,A4,1050.0,1200.0,20.0
5,6.0,23.0,A12,A45,A110,481.0,800.0,-3.0
5,2.0,13.0,A2,A60,A23,445.0,606.0,-10.0
5,9.0,11.0,A0,A58,A130,615.0,670.0,17.0
5,8.0,3.0,A2,A51,A0,1134.0,1260.0,-21.0
5,10.0,22.0,A4,A129,A131,360.0,426.0,-7.0
5,7.0,10.0,A2,A9,A86,1315.0,,
5,8.0,4.0,A4,A28,A132,1125.0,1196.0,12.0
5,12.0,6.0,A0,A37,A133,915.0,1105.0,-9.0
5,8.0,11.0,A6,A60,A0,1005.0,1139.0,7.0
5,9.0,2.0,A6,A28,A41,465.0,538.0,2.0
5,10.0,27.0,A8,,A134,650.0,795.0,8.0
5,6.0,26.0,A4,A131,A21,420.0,468.0,56.0
5,9.0,6.0,A5,A24,A16,1240.0,1255.0,-25.0
5,12.0,7.0,A4,A7,A135,1080.0,1200.0,-13.0
5,4.0,14.0,A7,A132,A18,455.0,616.0,4.0
5,1.0,12.0,A0,,A37,1045.0,1145.0,-13.0
5,9.0,9.0,A0,A58,A92,1055.0,1130.0,17.0
5,7.0,11.0,A2,A48,A49,581.0,,-12.0
5,11.0,1.0,A2,A12,A16,1201.0,1291.0,-20.0
5,12.0,13.0,A6,A60,A19,1095.0,1217.0,4.0
5,4.0,2.0,A6,A133,A0,1323.0,399.0,-29.0
5,12.0,6.0,A0,A128,A45,645.0,820.0,-33.0
5,4.0,17.0,A12,A5,A0,685.0,868.0,-42.0
5,11.0,18.0,A8,A66,A56,410.0,570.0,-7.0
5,4.0,4.0,A1,A55,A39,1065.0,1209.0,-10.0
5,9.0,19.0,A5,A134,A16,915.0,928.0,-21.0
5,6.0,20.0,A7,A60,A41,479.0,580.0,-9.0
5,7.0,4.0,A2,A114,A29,570.0,677.0,-2.0
