Zip,Total Population,Total Population of One Race,White,Black or African American,American Indian and Alaska Native,Total Asian,Asian Indian,Chinese,Filipino,Japanese,Korean,Vietnamese,Other Asian,Total NHOPI,Native Hawaiian,Guamanian or Chamorro,Samoan,Other Pacific Islander,Some Other Race,Total Population of Two or More Races
ZCTA5 91207,10506,10092,8465,82,21,1233,163,225,378,77,294,37,59,2,1,0,1,0,289,414
ZCTA5 91208,16245,15569,12437,122,20,2625,167,420,570,191,1099,32,146,5,4,0,0,1,360,676
ZCTA5 91210,328,325,179,8,0,113,7,14,58,0,25,1,8,0,0,0,0,0,25,3
ZCTA5 91214,30356,29170,19838,188,101,8239,237,449,901,263,6006,47,336,17,11,3,0,3,787,1186
ZCTA5 91301,25488,24577,21657,333,63,1841,360,500,268,190,310,89,124,26,11,2,1,12,657,911
ZCTA5 91302,25709,24746,21795,438,60,2040,451,558,204,162,423,67,175,9,5,2,1,1,404,963
ZCTA5 91303,26855,25536,13058,1134,212,2802,545,232,1041,85,151,406,342,44,3,2,10,29,8286,1319
ZCTA5 91304,50231,47673,28866,2557,304,6757,1150,776,2409,298,367,872,885,73,12,14,4,43,9116,2558
ZCTA5 91306,45061,42666,22146,2083,263,8048,1083,680,2739,197,359,2051,939,55,11,6,21,17,10071,2395
ZCTA5 91307,24474,23345,18338,712,66,3168,561,587,754,230,352,300,384,15,8,1,1,5,1046,1129
ZCTA5 91311,36557,34852,24118,1540,208,6036,1186,660,1629,331,1053,563,614,58,18,8,13,19,2892,1705
ZCTA5 91316,26898,25338,21373,994,67,1629,202,253,473,181,189,65,266,33,7,5,2,19,1242,1560
ZCTA5 91320,44274,42427,34249,570,211,4662,1187,1563,611,273,422,222,384,48,24,8,0,16,2687,1847
ZCTA5 91321,34882,33423,22645,1050,263,2114,249,162,872,137,324,72,298,64,14,19,8,23,7287,1459
ZCTA5 91324,27669,26324,15437,1348,130,4879,608,638,1590,247,978,281,537,43,9,1,6,27,4487,1345
ZCTA5 91325,32417,30733,18721,1849,185,5480,673,738,1707,358,1150,262,592,82,16,6,7,53,4416,1684
ZCTA5 91326,33708,32343,19782,1172,66,9994,1385,1386,2038,523,3680,294,688,30,7,7,2,14,1299,1365
ZCTA5 91330,2702,2523,1132,713,19,330,25,100,54,27,73,13,38,7,1,1,4,1,322,179
ZCTA5 91331,103689,99510,46024,3462,913,4516,224,114,2527,259,190,177,1025,118,21,34,6,57,44477,4179
ZCTA5 91335,74363,70468,39990,3029,494,9201,1126,592,3412,273,724,1760,1314,90,30,15,22,23,17664,3895
ZCTA5 91340,34188,32874,16998,669,444,387,12,39,204,40,21,13,58,35,7,10,8,10,14341,1314
ZCTA5 91342,91725,87958,45803,4570,968,5091,331,295,2845,254,701,185,480,74,20,21,4,29,31452,3767
ZCTA5 91343,60254,57511,28519,2641,420,8563,548,408,4651,380,846,629,1101,109,20,20,21,48,17259,2743
ZCTA5 91344,51747,49389,32636,1797,267,9081,1069,696,3464,488,2149,284,931,52,11,15,9,17,5556,2358
ZCTA5 91345,18496,17691,9981,673,190,1750,114,43,1085,156,103,63,186,40,7,4,11,18,5057,805
ZCTA5 91350,33348,31783,24903,943,196,3105,298,323,1469,192,365,142,316,44,17,0,2,25,2592,1565
ZCTA5 91351,32362,30538,20461,1287,227,2271,242,123,1080,114,334,76,302,56,21,10,2,23,6236,1824
ZCTA5 91352,47807,45890,24825,861,401,3034,114,136,1706,210,177,210,481,89,11,5,20,53,16680,1917
ZCTA5 91354,28722,27389,20612,922,90,4609,431,496,1648,244,1338,132,320,43,13,5,2,23,1113,1333
ZCTA5 91355,32605,31188,25009,908,131,3474,306,388,1202,271,854,83,370,34,4,11,5,14,1632,1417
